County,# Teams
c26163,86
c06037,74
c26125,54
c06085,43
c27053,42
c53033,41
c04013,40
c06073,40
c26049,34
c36103,33
c48201,29
c27123,29
c26099,27
c26161,26
c13121,26
c26145,25
c06059,24
c26081,23
c48113,23
c25017,22
c17031,20
c36059,20
c48029,20
c29095,20
c15003,19
c29189,19
c09003,18
c36055,18
c32003,18
c49035,18
c12099,17
c42091,17
c37183,17
c36081,17
c26159,17
c26093,17
c27037,17
c26005,16
c26139,16
c51059,16
c33011,16
c41051,16
c26075,16
c26077,16
c34023,15
c25027,15
c26087,15
c06013,15
c06111,15
c27003,15
c26111,15
c55133,14
c26065,14
c27163,14
c27137,14
c34035,13
c06081,13
c39049,13
c09009,13
c36061,13
c29510,13
c53061,13
c26147,13
c25021,12
c12011,12
c42003,12
c39035,12
c26115,12
c34021,12
c36047,12
c48453,12
c48439,12
c06019,12
c41067,12
c40109,12
c29047,12
c26021,12
c26025,12
c26045,12
c26017,12
c40143,11
c34005,11
c13067,11
c20091,11
c13117,11
c13135,11
c45051,11
c25009,11
c48085,11
c55079,11
c26121,11
c06053,11
c48215,11
c26155,11
c33013,10
c09005,10
c53053,10
c36005,10
c42045,10
c08031,10
c08005,10
c41005,10
c11001,10
c06001,10
c26027,10
c27171,10
c26073,10
c25025,9
c42101,9
c34013,9
c48157,9
c13057,9
c47093,9
c36069,9
c53063,9
c06067,9
c36119,9
c06065,9
c27021,9
c27019,9
c06075,9
c26009,9
c26015,9
c26059,9
c34027,8
c36001,8
c33015,8
c18097,8
c37135,8
c12095,8
c39041,8
c08013,8
c13089,8
c26067,8
c06071,8
c22033,8
c26091,8
c48121,8
c13095,8
c23005,7
c34039,7
c34007,7
c51087,7
c01089,7
c24031,7
c37063,7
c04021,7
c06095,7
c24027,7
c42029,7
c45079,7
c26033,7
c20209,7
c37037,7
c48491,7
c27139,7
c27061,7
c24033,7
c27049,7
c27007,7
c27145,7
c26057,7
c26029,7
c26047,7
c55063,7
c22071,7
c26151,7
c12009,6
c12086,6
c39061,6
c09013,6
c09001,6
c33017,6
c18057,6
c29183,6
c13245,6
c08001,6
c48303,6
c26123,6
c27129,6
c39089,6
c27057,6
c27067,6
c27111,6
c26031,6
c26103,6
c48091,6
c48209,6
c13177,6
c26109,6
c26157,6
c26107,6
c26149,6
c26141,6
c26037,6
c26023,6
c26117,6
c27017,6
c22051,6
c25023,5
c34019,5
c42017,5
c18141,5
c33005,5
c09011,5
c55131,5
c45045,5
c48039,5
c45019,5
c51041,5
c06029,5
c51760,5
c19013,5
c41003,5
c55101,5
c04019,5
c51085,5
c34025,5
c24003,5
c12057,5
c39093,5
c34003,5
c17143,5
c16001,5
c22103,5
c27093,5
c06097,5
c23011,5
c48141,5
c18063,5
c55089,5
c55071,5
c26041,5
c26089,5
c45043,5
c27097,5
c26113,5
c26011,5
c26069,5
c26129,5
c26105,5
c36087,5
c26035,5
c26043,5
c39155,4
c42049,4
c18089,4
c12031,4
c25005,4
c23031,4
c08069,4
c34041,4
c34031,4
c51061,4
c18157,4
c08041,4
c24021,4
c41017,4
c26061,4
c18011,4
c39017,4
c15001,4
c17119,4
c17163,4
c17201,4
c09007,4
c24005,4
c29165,4
c51153,4
c26127,4
c17089,4
c08035,4
c40125,4
c15009,4
c53011,4
c27035,4
c27085,4
c27025,4
c27135,4
c27047,4
c27055,4
c27169,4
c27141,4
c27059,4
c42019,4
c39113,4
c12083,4
c27005,4
c49049,4
c22073,4
c06083,4
c26133,4
c05007,4
c27131,4
c27039,4
c27147,4
c05145,4
c37069,4
c47037,4
c19153,4
c47157,4
c47065,4
c26097,4
c26165,4
c26007,4
c36079,4
c05119,4
c33009,4
c36091,3
c01083,3
c18067,3
c55015,3
c55087,3
c55139,3
c50027,3
c51650,3
c51700,3
c34015,3
c39095,3
c18015,3
c45035,3
c28047,3
c37101,3
c18181,3
c19075,3
c51075,3
c36117,3
c51107,3
c48473,3
c48027,3
c25013,3
c06079,3
c51143,3
c48397,3
c44007,3
c48339,3
c37081,3
c36051,3
c36123,3
c18039,3
c12069,3
c16005,3
c06113,3
c26055,3
c24510,3
c18081,3
c45041,3
c06025,3
c29037,3
c34037,3
c17093,3
c26119,3
c26137,3
c17197,3
c40133,3
c17097,3
c17043,3
c17179,3
c27127,3
c27109,3
c39153,3
c37147,3
c40027,3
c48021,3
c53077,3
c27043,3
c27079,3
c41029,3
c53035,3
c27099,3
c18013,3
c39099,3
c27023,3
c27173,3
c53057,3
c27009,3
c27121,3
c27073,3
c13063,3
c55117,3
c37119,3
c26085,3
c48187,3
c27153,3
c05023,3
c47163,3
c53075,3
c41009,3
c27065,3
c27115,3
c13157,3
c13015,3
c47001,3
c37185,3
c42125,3
c13139,3
c12101,3
c13051,3
c36029,3
c26079,3
c29187,3
c26051,3
c21111,3
c26001,3
c13073,3
c06047,3
c26143,3
c26101,3
c23025,3
c45089,3
c37141,3
c48031,3
c05045,3
c05077,3
c05107,3
c05005,2
c05089,2
c18159,2
c44005,2
c48167,2
c48231,2
c19103,2
c42079,2
c55027,2
c55055,2
c34033,2
c33001,2
c51179,2
c10003,2
c36063,2
c18171,2
c36085,2
c19017,2
c19023,2
c01043,2
c01103,2
c36109,2
c19139,2
c19163,2
c18059,2
c50017,2
c55127,2
c41043,2
c19113,2
c39159,2
c39165,2
c12097,2
c08014,2
c51067,2
c51089,2
c51690,2
c06039,2
c08077,2
c28045,2
c18183,2
c06077,2
c36021,2
c55009,2
c04003,2
c08059,2
c20103,2
c29049,2
c51685,2
c28059,2
c55035,2
c40147,2
c18127,2
c22089,2
c55039,2
c18091,2
