Team,# Counties
148,328
364,275
1619,253
4362,221
4265,210
4451,207
619,177
4910,171
868,171
5172,154
5013,132
935,123
2052,122
48,107
5190,99
3750,79
2910,76
1323,67
179,66
3478,63
125,61
1987,60
5801,59
2046,56
225,47
20,40
870,36
747,34
4414,33
1816,32
6574,29
359,27
3647,24
2826,21
2791,19
4028,19
5853,18
987,17
5199,12
254,11
971,11
330,10
1671,7
1796,7
6479,5
1678,5
368,5
1566,4
7425,4
3990,4
3310,4
1114,3
2638,3
3324,3
6304,2
7651,2
7691,2
6995,1
6934,1
2168,1
5872,1
2974,1
111,1
6455,1
6026,1
